product_id,product_name,category,segment,size,color,price,cogs,flag_loss_margin
165,DragonWear UC-06,Streetwear,Everyday,L,white,23.029830867355027,14.651084686631249,False
166,MekongFit RP-36,Outdoor,Activewear,L,red,4610.969999999999,4380.4215,False
167,VietMode RS-80,Outdoor,Premium,L,orange,18.06404638323212,11.510019389083768,False
168,SaigonFlex UC-60,Streetwear,Everyday,XL,purple,8975.727475247524,5284.908337425743,False
169,VietMotion UR-16,Streetwear,Standard,M,blue,20.375323878643,12.306665833397906,False
170,LotusWear UE-75,Streetwear,Performance,L,white,13924.604716981134,13228.374481132076,False
171,VietMode RP-24,Outdoor,Activewear,S,orange,5354.37,5086.6515,False
172,VietMode RP-77,Outdoor,Activewear,M,purple,4230.24,2410.813776,False
173,SaigonCore YY-51,GenZ,Trendy,S,green,1322.37,1104.311187,False
174,PhoenixWear UM-14,Streetwear,Balanced,XL,blue,7489.429322033899,5615.574105661017,False
175,UrbanVN UE-11,Streetwear,Performance,XL,black,9008.37,6208.568604000001,False
176,VietMotion RS-03,Outdoor,Premium,L,red,3778.7642307692304,3589.826019230769,False
177,LotusWear UR-16,Streetwear,Standard,S,white,7556.85,7036.183035,False
178,VietMode RS-19,Outdoor,Premium,M,black,16.754167348605755,9.270421085851618,False
179,SaigonFlex UM-08,Streetwear,Balanced,XL,blue,21108.804545454543,18867.04950272728,False
180,NamStyle YY-26,GenZ,Trendy,XL,purple,3144.3963157894736,2987.1765,False
181,VietMode RP-33,Outdoor,Activewear,M,black,5598.43156996587,3174.870543327645,False
182,DragonWear UE-09,Streetwear,Performance,M,black,8498.7,8073.765,False
183,UrbanVN UC-30,Streetwear,Everyday,XL,purple,50.54423484959421,32.32978997882029,False
184,VietMode RP-97,Outdoor,Activewear,M,purple,4692.24,4457.628,False
185,UrbanVN UR-35,Streetwear,Standard,S,orange,44.65281905454065,27.673457177359808,False
186,VietMode RS-83,Outdoor,Premium,M,purple,5039.37,2724.283422,False
187,DragonWear UM-39,Streetwear,Balanced,S,orange,30.019427445814017,19.258928547891312,False
188,SaigonFlex UM-14,Streetwear,Balanced,M,yellow,20.19065181083324,12.956974396309146,False
189,UrbanVN UE-21,Streetwear,Performance,M,black,4375.115247148289,4156.359484790874,False
190,VietMotion UE-11,Streetwear,Performance,M,silver,5033.7,3153.61305,False
191,HanoiStreet UR-36,Streetwear,Standard,L,red,29.93333491389395,18.23820116798559,False
192,PhoenixWear UE-14,Streetwear,Performance,M,black,6821.850000000001,5840.86797,False
193,HanoiStreet UR-31,Streetwear,Standard,M,purple,45.14383029070082,25.52385172770945,False
194,SaigonFlex UC-84,Streetwear,Everyday,XL,yellow,6949.759090909091,6509.61927,False
195,SaigonCore YY-17,GenZ,Trendy,L,orange,4346.37,2195.351487,False
196,LotusWear UR-20,Streetwear,Standard,S,pink,6826.622727272727,5780.784125454546,False
197,DragonWear MA-25,Casual,All-weather,M,purple,36.50593625897967,22.20353271354441,False
198,VietMotion MA-01,Casual,All-weather,XL,silver,78.35681785939418,46.38509951496604,False
199,IndigoViet UM-02,Streetwear,Balanced,S,red,14491.708235294118,8826.899486117647,False
200,VietMode UE-14,Streetwear,Performance,S,white,5416.74,3482.422146,False
201,VietMode RP-64,Outdoor,Activewear,S,orange,3202.949302325581,2647.237598372093,False
202,UrbanVN MA-13,Casual,All-weather,S,red,3366.602972136223,3198.272823529412,False
203,PhoenixWear UE-16,Streetwear,Performance,XL,blue,8504.37,7320.561696000001,False
204,HanoiStreet RP-16,Outdoor,Activewear,S,pink,818.37,554.363838,False
205,NamStyle YY-15,GenZ,Trendy,S,white,1637.37,870.9171029999999,False
206,DragonWear UR-35,Streetwear,Standard,S,white,6815.393617021276,3720.523375531915,False
207,VietMode RS-76,Outdoor,Premium,L,pink,26.302729149478207,14.62524348409405,False
208,VietMode RP-23,Outdoor,Activewear,XL,black,5354.37,2882.257371,False
209,UrbanVN UE-02,Streetwear,Performance,L,orange,7307.37,5269.344507,False
210,PhoenixWear UC-02,Streetwear,Everyday,S,orange,16.359093790389007,9.137385792326617,False
211,DragonWear UR-39,Streetwear,Standard,S,pink,43.45991850151962,28.03147873924418,False
212,VietMode RP-80,Outdoor,Activewear,S,pink,4471.74,4248.152999999999,False
213,UrbanVN RP-43,Outdoor,Activewear,S,pink,2865.87,2722.5765,False
214,MekongFit RP-10,Outdoor,Activewear,S,white,1960.245,1605.832704,False
215,MekongFit RP-19,Outdoor,Activewear,M,blue,2834.37,2692.6515,False
216,VietMode RP-02,Outdoor,Activewear,L,red,3195.99,1813.724325,False
217,SaigonFlex UM-05,Streetwear,Balanced,S,red,9886.802879868348,7227.252905183763,False
218,MekongFit RP-11,Outdoor,Activewear,M,purple,3731.974912998976,2473.179774844422,False
219,UrbanVN YY-05,GenZ,Trendy,M,black,42.8690611240214,25.637871787463048,False
220,SaigonCore UE-16,Streetwear,Performance,M,black,6970.45695652174,6092.876425695652,False
221,MekongFit UC-06,Streetwear,Everyday,S,white,4808.37,4567.9515,False
222,SaigonFlex UC-28,Streetwear,Everyday,XL,blue,9445.094755700327,8972.84001791531,False
223,SaigonFlex UC-32,Streetwear,Everyday,XL,silver,10134.776887966806,8711.854212896265,False
224,SaigonCore UE-07,Streetwear,Performance,S,orange,7868.7,5265.73404,False
225,DragonWear RS-03,Outdoor,Premium,L,red,5039.37,3891.401514,False
226,VietMode RP-94,Outdoor,Activewear,L,orange,4400.339999999999,2938.107018,False
227,VietMotion RP-13,Outdoor,Activewear,S,green,24.40276236039929,14.024831413896305,False
228,DragonWear RP-20,Outdoor,Activewear,M,purple,3779.37,3427.132716,False
229,LotusWear UM-01,Streetwear,Balanced,XL,blue,10136.85,5587.4317200000005,False
230,HanoiStreet UM-06,Streetwear,Balanced,L,orange,4674.7290361445785,4440.992584337349,False
231,DragonWear UM-16,Streetwear,Balanced,M,yellow,10073.7,6682.89258,False
232,SaigonFlex UC-91,Streetwear,Everyday,L,green,17013.896946107783,16163.202098802392,False
233,DragonWear MA-08,Casual,All-weather,S,pink,5353.448367952522,3709.404374154303,False
234,VietMode RP-71,Outdoor,Activewear,XL,yellow,3967.74,3426.5402640000007,False
235,LotusWear RP-05,Outdoor,Activewear,M,silver,38.77519960989875,23.59608301764526,False
236,MekongFit RP-30,Outdoor,Activewear,S,white,22.12626746115412,12.439630765339205,False
237,MekongFit UM-10,Streetwear,Balanced,M,blue,7748.37,4407.272856,False
238,HanoiStreet UM-32,Streetwear,Balanced,S,pink,36.07634897741269,20.99193459089709,False
239,VietMode RS-09,Outdoor,Premium,XL,black,29.73239720311884,18.016788156878903,False
240,UrbanVN UE-08,Streetwear,Performance,S,pink,59.80908771546647,38.78261788080608,False
241,VietMotion RP-23,Outdoor,Activewear,L,green,3905.37,3541.780053,False
242,VietMotion UM-08,Streetwear,Balanced,M,blue,9638.37,9156.4515,False
243,VietMotion RP-29,Outdoor,Activewear,S,orange,32.25161374327551,20.86489873659447,False
244,VietMode RP-47,Outdoor,Activewear,XL,purple,3716.37,2789.878959,False
245,LotusWear UE-39,Streetwear,Performance,L,pink,10553.85,5995.642185,False
246,NamStyle YY-02,GenZ,Trendy,XL,black,2834.37,1825.901154,False
247,DragonWear UM-32,Streetwear,Balanced,M,purple,46.008403472897605,26.13542024368129,False
248,VietMotion YY-03,GenZ,Trendy,L,white,1618.174864864865,1252.4673454054057,False
249,HanoiStreet RP-64,Outdoor,Activewear,S,green,44.72599379848069,25.661732716905963,False
250,DragonWear UE-11,Streetwear,Performance,XL,blue,9191.446033810143,8731.873732119637,False
251,SaigonFlex UC-52,Streetwear,Everyday,XL,silver,5610.653125000001,4180.4976434375,False
252,VietMode MA-16,Casual,All-weather,S,red,5373.012857142858,5104.362214285715,False
253,VietMode RP-29,Outdoor,Activewear,M,silver,30.01516561307629,18.319602034123964,False
254,UrbanVN UR-43,Streetwear,Standard,S,red,26.137509924695955,16.67800727967642,False
255,LotusWear UE-14,Streetwear,Performance,M,blue,8405.192465753425,6159.3250389041095,False
256,UrbanVN RS-04,Outdoor,Premium,M,purple,1920.87,1824.8265,False
257,HanoiStreet RP-77,Outdoor,Activewear,M,yellow,2708.37,2535.305157,False
258,SaigonCore YY-48,GenZ,Trendy,M,blue,4462.208709677419,4239.098274193549,False
259,HanoiStreet UR-24,Streetwear,Standard,L,pink,18.03387644120589,11.712836517062742,False
260,VietMode RP-15,Outdoor,Activewear,XL,blue,29.72683062013232,18.408714277566283,False
261,BambooCraft UC-10,Streetwear,Everyday,XL,black,8630.37,5459.572062000001,False
262,BambooCraft UC-16,Streetwear,Everyday,M,silver,8661.21827586207,4709.104376586208,False
263,SaigonCore UE-13,Streetwear,Performance,L,pink,8251.727142857142,4414.674021428571,False
264,HanoiStreet RP-84,Outdoor,Activewear,S,green,3338.27,3052.8479150000003,False
265,LotusWear UC-02,Streetwear,Everyday,S,pink,12720.344318181818,12084.327102272728,False
266,VietMotion UR-25,Streetwear,Standard,L,orange,48.91322908687154,27.403684178663447,False
267,UrbanVN RP-27,Outdoor,Activewear,S,orange,18.33048464860911,11.253304377609716,False
268,SaigonCore UM-01,Streetwear,Balanced,M,yellow,7101.188181818181,6343.491402818181,False
269,LotusWear UE-30,Streetwear,Performance,M,yellow,40950.0,30319.38,False
270,SaigonFlex UM-09,Streetwear,Balanced,S,white,22378.448212290503,17936.326242150837,False
271,MekongFit UE-25,Streetwear,Performance,M,yellow,2618.91,2284.475193,False
272,VietMode RP-08,Outdoor,Activewear,S,green,34.10101628332273,21.127172809812297,False
273,SaigonCore UC-05,Streetwear,Everyday,XL,yellow,9443.7,8971.515,False
274,VietMotion UR-07,Streetwear,Standard,S,white,37.70024303539459,20.75920856103877,False
275,SaigonFlex UE-22,Streetwear,Performance,L,white,6526.873255813954,5059.632147906977,False
276,SaigonFlex UM-18,Streetwear,Balanced,M,blue,14675.85,10280.432925,False
277,SaigonFlex UM-00,Streetwear,Balanced,XL,purple,8656.966557377049,6242.53858452459,False
278,SaigonFlex UC-75,Streetwear,Everyday,L,red,11122.506,9587.600172,False
279,VietMode RP-45,Outdoor,Activewear,M,blue,11.259872989175507,6.890468405455395,False
280,DragonWear MA-10,Casual,All-weather,L,red,8183.699999999999,7774.5149999999985,False
281,HanoiStreet UR-20,Streetwear,Standard,L,white,77.39037963933177,49.4043613173527,False
282,VietMode MP-20,Casual,Activewear,S,orange,5164.74,2973.857292,False
283,MekongFit UR-12,Streetwear,Standard,XL,purple,5890.312702702703,5044.463798594595,False
284,HanoiStreet UE-05,Streetwear,Performance,S,green,11024.37,7005.987135000001,False
285,HanoiStreet UE-15,Streetwear,Performance,L,green,5178.670998573467,4255.831826627675,False
286,HanoiStreet RS-20,Outdoor,Premium,S,green,4614.077052476704,3811.689053051005,False
287,UrbanVN UE-04,Streetwear,Performance,S,white,4691.61,4457.0295,False
288,SaigonFlex UM-46,Streetwear,Balanced,M,black,24.20837585679796,14.981117116583182,False
289,MekongFit RP-58,Outdoor,Activewear,S,orange,1422.8740268456374,1014.2246063355705,False
290,UrbanVN UR-18,Streetwear,Standard,XL,purple,4382.413269230769,3917.000980038461,False
291,UrbanVN UC-23,Streetwear,Everyday,S,pink,7055.37,6285.629133,False
292,VietMode MA-19,Casual,All-weather,XL,blue,23.464445533817567,14.611706946740496,False
293,SaigonFlex UM-64,Streetwear,Balanced,XL,yellow,12111.791176470588,8626.017675882353,False
294,VietMotion MA-17,Casual,All-weather,XL,blue,10199.7,8504.50986,False
295,BambooCraft UM-10,Streetwear,Balanced,S,orange,15214.602558139535,10097.93171783721,False
296,BambooCraft UM-14,Streetwear,Balanced,S,green,17668.006363636363,16784.606045454544,False
297,DragonWear RP-14,Outdoor,Activewear,XL,yellow,4325.34375,3585.70996875,False
298,MekongFit UE-31,Streetwear,Performance,XL,purple,3527.37,2364.748848,False
299,MekongFit UE-23,Streetwear,Performance,XL,silver,5444.799864253394,5172.559871040724,False
300,VietMode RP-01,Outdoor,Activewear,M,yellow,22.090734117325905,12.866937691187092,False
301,PhoenixWear UC-10,Streetwear,Everyday,S,red,5147.283148371532,4889.918990952955,False
302,DragonWear UM-36,Streetwear,Balanced,M,yellow,14767.077006507592,14028.723156182212,False
303,SaigonFlex UM-63,Streetwear,Balanced,L,pink,21423.246923076924,16733.698171615386,False
304,NamStyle YY-01,GenZ,Trendy,L,red,1889.37,1538.5139909999998,False
305,VietMode RP-54,Outdoor,Activewear,L,orange,4524.5025,4298.277375,False
306,HanoiStreet UE-29,Streetwear,Performance,S,red,61.92088131636448,39.00925896137887,False
307,MekongFit UM-11,Streetwear,Balanced,L,white,11011.57028818444,8816.96432974928,False
308,VietMode MP-22,Casual,Activewear,L,white,5353.74,5086.053,False
309,SaigonFlex UM-66,Streetwear,Balanced,M,black,13863.650487804878,13170.467963414634,False
310,VietMotion UC-10,Streetwear,Everyday,L,orange,25.26022943649214,14.351436261898485,False
311,VietMotion UR-24,Streetwear,Standard,M,black,25.257807488581232,16.24589276501159,False
312,DragonWear RS-06,Outdoor,Premium,M,blue,3882.460909090909,3688.337863636363,False
313,VietMode RS-60,Outdoor,Premium,L,orange,72.66719561257034,40.54912970828431,False
314,DragonWear UR-29,Streetwear,Standard,L,pink,17.372937016254994,9.586167633175872,False
